Begin Time:2021-05-13T17:36:22.633
[2021-05-13T17:36:22.633 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:378]Load avnetsdk library dynamically
[2021-05-13T17:36:22.765 info Netsdk:48184 14224:13148 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B33472C0, pstOutParam:000001B1B3349F30.
[2021-05-13T17:36:22.765 info Netsdk:48184 14224:13148 dhnetsdk.cpp:825]IP:170.242.1.2, port:8004, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.765 info Netsdk:48184 14224:3628 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346A00, pstOutParam:000001B1B3348E30.
[2021-05-13T17:36:22.765 info Netsdk:48184 14224:3628 dhnetsdk.cpp:825]IP:170.242.0.146, port:8003, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.765 info Netsdk:48184 14224:15336 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346840, pstOutParam:000001B1B3349830.
[2021-05-13T17:36:22.765 info Netsdk:48184 14224:15336 dhnetsdk.cpp:825]IP:170.242.0.146, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:10904 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B33465A0, pstOutParam:000001B1B334A030.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:10904 dhnetsdk.cpp:825]IP:170.242.0.146, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:13388 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346760, pstOutParam:000001B1B3349730.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:11120 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346680, pstOutParam:000001B1B3349230.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:13576 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346E60, pstOutParam:000001B1B3349B30.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:13388 dhnetsdk.cpp:825]IP:170.242.0.254, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:11120 dhnetsdk.cpp:825]IP:170.242.0.10, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:13576 dhnetsdk.cpp:825]IP:170.242.0.131, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:7884 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B4A0, pstOutParam:000001B1B3348F30.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:2476 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A940, pstOutParam:000001B1B3348230.
